"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 31 21:59:09 CST 2024","Fri May 31 21:59:09 CST 2024","95","WMS.Scripts","test_001_login","TestLogin","","","test_login[params0]","登录接口测试用例"
"passed","Fri May 31 21:59:11 CST 2024","Fri May 31 21:59:11 CST 2024","89","WMS.Scripts","test_004_updCustomer","TestUpdateCustomer","","","test_update_customer[params3]",""
"passed","Fri May 31 21:59:10 CST 2024","Fri May 31 21:59:10 CST 2024","90","WMS.Scripts","test_003_addCustomer","TestAddCustomer","","","test_add_customer[params2]","用户新增接口测试用例"
"failed","Fri May 31 21:59:10 CST 2024","Fri May 31 21:59:10 CST 2024","99","WMS.Scripts","test_003_addCustomer","TestAddCustomer","","","test_add_customer[params3]","用户新增接口测试用例"
"passed","Fri May 31 21:59:09 CST 2024","Fri May 31 21:59:09 CST 2024","21","WMS.Scripts","test_001_login","TestLogin","","","test_login[params1]","登录接口测试用例"
"passed","Fri May 31 21:59:10 CST 2024","Fri May 31 21:59:10 CST 2024","91","WMS.Scripts","test_003_addCustomer","TestAddCustomer","","","test_add_customer[params0]","用户新增接口测试用例"
"passed","Fri May 31 21:59:10 CST 2024","Fri May 31 21:59:10 CST 2024","91","WMS.Scripts","test_004_updCustomer","TestUpdateCustomer","","","test_update_customer[params0]",""
"failed","Fri May 31 21:59:10 CST 2024","Fri May 31 21:59:10 CST 2024","91","WMS.Scripts","test_002_selectCustomer","TestSelectCustomer","","","test_select_customer[params1]","用户查询接口接口测试用例"
"passed","Fri May 31 21:59:09 CST 2024","Fri May 31 21:59:09 CST 2024","79","WMS.Scripts","test_001_login","TestLogin","","","test_login[params2]","登录接口测试用例"
"passed","Fri May 31 21:59:09 CST 2024","Fri May 31 21:59:09 CST 2024","21","WMS.Scripts","test_001_login","TestLogin","","","test_login[params3]","登录接口测试用例"
"passed","Fri May 31 21:59:10 CST 2024","Fri May 31 21:59:10 CST 2024","90","WMS.Scripts","test_004_updCustomer","TestUpdateCustomer","","","test_update_customer[params1]",""
"passed","Fri May 31 21:59:10 CST 2024","Fri May 31 21:59:10 CST 2024","92","WMS.Scripts","test_002_selectCustomer","TestSelectCustomer","","","test_select_customer[params3]","用户查询接口接口测试用例"
"passed","Fri May 31 21:59:10 CST 2024","Fri May 31 21:59:10 CST 2024","92","WMS.Scripts","test_002_selectCustomer","TestSelectCustomer","","","test_select_customer[params2]","用户查询接口接口测试用例"
"passed","Fri May 31 21:59:09 CST 2024","Fri May 31 21:59:10 CST 2024","93","WMS.Scripts","test_002_selectCustomer","TestSelectCustomer","","","test_select_customer[params0]","用户查询接口接口测试用例"
"passed","Fri May 31 21:59:10 CST 2024","Fri May 31 21:59:11 CST 2024","89","WMS.Scripts","test_004_updCustomer","TestUpdateCustomer","","","test_update_customer[params2]",""
"passed","Fri May 31 21:59:10 CST 2024","Fri May 31 21:59:10 CST 2024","94","WMS.Scripts","test_003_addCustomer","TestAddCustomer","","","test_add_customer[params1]","用户新增接口测试用例"
